,asin,date,Unnamed: 0,sales_rank,rating,ad_cost_eur,item_promotion_discount,forecasted_sales_rank,MAPE
70,33a481aa9103ed6ff6f5b2c440981dae,2021-12-01,24535.0,37054,3.3,2.7785422222222222,0.1711111111111111,38318.18537632409,3.41173794009847
71,3446b726902b8372e73daec7bbeea64f,2021-12-01,24715.0,168760,3.6000000000000005,0.12803076923076923,0.0,92307.12499999999,45.302722801611765
73,355ec221bdd4565963057a0fea9038ec,2021-12-01,25095.5,122190,3.6,0.24029166666666668,0.025833333333333333,75381.83333333334,38.30769020923697
74,35abae40487988bec52d62ec707650b9,2021-12-01,25584.5,103114,3.9893158783783784,0.2053125,0.0,61130.81818181818,40.7153071534242
75,35dad09f39c4b9a523b35195c34df17a,2021-12-01,25827.0,95485,3.3,0.0,0.0,73698.3307297331,22.81685005002555
76,366136b6cfb8d108a896577c77ef30bf,2021-02-01,25919.5,3308043,,0.0,0.0,2135336.1999999997,35.450167969400646
77,36d60a402da9bc13c92b878e4789bcf3,2021-12-01,26728.0,6887,3.5688103988022326,6.481144086021505,0.7976344086021506,14075.589943537254,104.37911926146732
78,375cdf51654b514918a79532ac7f308a,2021-12-01,27794.0,791,3.7,24.614728358208954,3.3597014925373134,3254.3615392107804,311.42370912904937
79,37d02feb68df4934ebb966598f9d65b8,2021-12-01,28357.0,133355,4.3,0.0,0.0,80428.21739130435,39.68863755291939
80,37ecfde7a993ae9b1d00352265d4659b,2020-02-01,28383.5,786214,2.6,0.0,0.0,,
82,38e8c87098ebba2e3c9e4079e59ef4ae,2021-12-01,28560.821917808218,8778,3.9130136986301367,32.311,3.4479452054794524,,
83,39731029ceebfd9e93f0177144c6b115,2021-12-01,28740.5,374536,3.3,0.0,0.0,241510.2500000001,35.517480295619094
84,39c70fd8e943af5ad0ccf4c27a9a8ea4,2021-12-01,29063.0,26604,4.3,1.3068697674418603,0.12093023255813953,24423.697229121542,8.195394568029084
85,3a0b791fb7f1186b4bfc3e1903562a49,2021-12-01,29229.5,138845,3.6,1.0053142857142858,0.0,191649.53333333333,38.03128188507568
86,3ae7bc3b6b568f6abf9db3b86479b728,2021-12-01,29347.0,4546,4.322097449562238,141.7442028169014,2.2152112676056337,17930.999999999993,294.43466783985906
87,3b27fe35b630d40160fa83f656c278d8,2021-12-01,30540.0,44934,3.7292118226600985,0.9344,0.14482758620689654,17591.739130434784,60.849826121790215
88,3b839b07ccd4160048340a3b3f17fbdc,2020-06-01,30595.0,1572358,,0.0,0.0,1183888.3999999997,24.70618014472533
89,3c1d473b51eeef11cc43f11fda5169d7,2021-12-01,30658.5,70124,3.272727272727273,0.7724727272727272,0.0,52286.33870273154,25.437312898962496
90,3c4a88bc5f5a038319f3b6c9c232b935,2020-06-01,30724.5,1569623,,0.0,0.0,1249032.5999999999,20.4246752245603
91,3dabc180a1d13de7e9e4f9afb6aad6d5,2021-12-01,31418.5,111840,3.8,0.0,0.0,40821.29441760535,63.50027323175487
92,3dda4e4e1dd13c001c540c86950b0c52,2021-12-01,32305.5,34372,3.897385620915033,1.2062176470588235,0.0,36129.04347826087,5.111845334169882
93,3e9c0fbf33bbb3a54bb08e0cea0c666b,2021-12-01,32755.5,38146,4.306262626262626,2.313768181818182,0.14545454545454548,23445.22222222222,38.53818952911912
