asin,sales_channel,country,date,ad_cost_eur,ad_impressions,ad_clicks,ad_attributedconversions7d
c5201e58daea92b32dde96c333420704,AMAZON,DE,2020-08-01,94.0678,76266.08,399.90000000000003,26.0
868296c15df062464a98594257834d4f,AMAZON,DE,2021-10-01,333.537,34661.44,487.32000000000005,78.0
28b948b505e12b45576cdc903c27038e,AMAZON,DE,2021-03-01,4.3946,12339.36,65.10000000000001,10.0
3ef8e8a95732d31ce2b438978c73be62,AMAZON,DE,2021-11-01,42.266999999999996,13738.56,120.9,18.0
ebad0b73e9c24c5284fcf4b5ea858574,AMAZON,DE,2021-01-01,18.834,24421.76,156.24,4.0
056b97454db692ea7fd5e59768690e0a,AMAZON,DE,2021-02-01,2.3068,7895.36,18.6,0.0
479c9ee60791bc1d77fbad87ae89f110,AMAZON,DE,2021-02-01,7.606599999999999,18152.64,68.82000000000001,0.0
6c699622d82bb9131dbd60e82f11b46f,AMAZON,DE,2021-07-01,161.257,57881.12,269.7,14.0
cc3e3ae6ec053171356fdcce0ccdc5ce,AMAZON,DE,2021-02-01,241.6738,82528.16,262.26,32.0
15adb609af265e0031e30fedbf80bd8e,AMAZON,DE,2020-10-01,26.4406,28994.24,50.220000000000006,4.0
cbb745144d03c48caa9ebe457a6dc8f6,AMAZON,DE,2020-07-01,0.7592,2201.76,7.44,
83f914d93d16b2638bac0ade1a76d6e7,AMAZON,DE,2021-05-01,353.9916,150369.12,399.90000000000003,44.0
93338ebdc1272e4aff3f3c63910a901c,AMAZON,DE,2021-02-01,15.271600000000001,20408.96,93.0,2.0
421b249953c6129c656ceb287118618c,AMAZON,DE,2021-05-01,46.4572,28992.48,104.16000000000001,18.0
3339bccce0c1f45abbcdbd26f0dd66a4,AMAZON,DE,2021-02-01,1.2264,1293.6,13.020000000000001,0.0
cd207cfc8179fc55a14108943876c364,AMAZON,DE,2021-11-01,420.34860000000003,27482.4,797.94,78.0
ec213cc8c2aa25e842614c0c2313c8d0,AMAZON,DE,2020-09-01,0.657,4211.68,1.86,0.0
d3c7a0c7af2f019cd9794000e523e040,AMAZON,DE,2020-10-01,139.9994,140368.8,241.8,22.0
671ff6d386ff5a5992e669b38a87f301,AMAZON,DE,2021-01-01,52.6622,9702.88,42.78,6.0
6c6e86e7949701a8ba31c53ecebbdaec,AMAZON,DE,2020-12-01,274.7574,169273.28,678.9000000000001,72.0
36d60a402da9bc13c92b878e4789bcf3,AMAZON,DE,2021-08-01,273.7208,157280.64,944.88,146.0
9a05fcb8f15a949658b82fd43af248ec,AMAZON,DE,2021-02-01,0.0584,550.88,1.86,0.0
ef9af66e42e9403a2f9f13b2909407eb,AMAZON,DE,2020-08-01,42.2086,22146.08,83.7,4.0
e961eecde92746464d94c8f6a69c6af5,AMAZON,DE,2021-11-01,140.1892,49419.04,403.62,24.0
a9d860df1488d00f0866eb3af4c40f9b,AMAZON,DE,2021-03-01,4.161,12700.16,40.92,0.0
5c999c89c3a4ea793c9b5cd20b9129ba,AMAZON,DE,2021-03-01,3004.7967999999996,801690.56,3513.54,756.0
24bae66994ba73fcbcbfb8603de8e1b8,AMAZON,DE,2020-10-01,3.9566,12450.24,13.020000000000001,0.0
075abc2603d26c0815d59289006a6611,AMAZON,DE,2021-11-01,16.8922,50659.840000000004,35.34,12.0
58ebc6345c6adb1874d5aa076a4fd8f6,AMAZON,DE,2020-07-01,12.366200000000001,40182.56,210.18,
7c6d76fe76b9c338453ab5d34f06a232,AMAZON,DE,2021-02-01,244.38939999999997,183518.72,933.72,80.0
d3d997971f5a28f646c4fe064916a06e,AMAZON,DE,2020-09-01,0.4964,4512.64,11.16,2.0
782bd289a8fd94bc9fdcd8f5d2d50c1f,AMAZON,DE,2021-01-01,37.3322,19229.76,102.30000000000001,8.0
c8b19942f72d399ee5ae499863fdbf30,AMAZON,DE,2020-09-01,0.3358,8291.36,3.72,0.0
d47003df155d56678a811d2327148dcf,AMAZON,DE,2020-10-01,17.739,21792.32,48.36,4.0
0245e67a746d2bf134c15331fe42c109,AMAZON,DE,2021-04-01,3.3726,11033.44,14.88,0.0
7dd3cc502086efdd5be79f3288446576,AMAZON,DE,2020-09-01,1.5476,10456.16,13.020000000000001,0.0
5c295b865394b70221165443ce46a5f9,AMAZON,DE,2020-07-01,2.2484,35756.16,20.46,
3e9c0fbf33bbb3a54bb08e0cea0c666b,AMAZON,DE,2021-11-01,122.5232,36113.44,321.78000000000003,66.0
4464b67edac24489d9408d632a3836a2,AMAZON,DE,2020-10-01,88.4468,33304.48,109.74000000000001,8.0
3e9c0fbf33bbb3a54bb08e0cea0c666b,AMAZON,DE,2021-03-01,58.721199999999996,4848.8,76.26,10.0
2cc4e66d546be10a94a374f9f4f924ca,AMAZON,DE,2021-09-01,5771.7303999999995,623678.88,6340.740000000001,1174.0
435bcd4caf9e604d23d31ad6a6cf5fbb,AMAZON,DE,2021-10-01,101.9956,27167.36,150.66,12.0
5bd5a287865fe8d03bd6e3d5ce2b5411,AMAZON,DE,2020-08-01,0.219,3127.52,3.72,0.0
80ff1c0ca92d2a02ad6f593027f189ca,AMAZON,DE,2021-10-01,54.896,6955.52,78.12,2.0
90cffabf5695bdb0c6ab45ee3407e911,AMAZON,DE,2021-01-01,0.6861999999999999,5866.08,5.58,0.0
375cdf51654b514918a79532ac7f308a,AMAZON,DE,2020-09-01,688.2002,309589.28,1562.4,200.0
2313e07835f470ec33e561b0d5ef791c,AMAZON,DE,2020-08-01,4.3508,218.24,9.3,0.0
