asin,l2_category
c9d6ab9a336c392f3988d5ed6541d66f,house
301049d537e4a8cf78e70f339455803a,spirits
0ab136de529863e321d8ed035f7ec9bb,wellness
e4b5bfa8a073dc48460e4fe70bf934cf,beauty
c27971df0f60cd0f66d0878444b6821a,house
6c699622d82bb9131dbd60e82f11b46f,garden
421b249953c6129c656ceb287118618c,garden
c6be54e1c725808a15f032d3dd8c04e2,beauty
8f2cf401b7ed1b11bad7f0399513b2f8,garden
8dfac4ee381f1b7b3c700385aa9c2086,pet care
03678894ffb3df3a84681fa424880476,entertainment
c3cae56a41a559952b4bc5bd88f67a4a,entertainment
9df34694c01770e5f86aeeef46e55bb0,beauty
81430954d86b3f6953e1720ceb5ef642,garden
6c6e86e7949701a8ba31c53ecebbdaec,pet care
4d2427016c1c434b57a0d391c89cc2c9,entertainment
02cd9c428457c86dd6a26c9676400e47,other
d47003df155d56678a811d2327148dcf,pet care
e00dcbbddeeb54a0d3158ae135c75a0a,garden
2952663b17e7b1839b090b57e1c066e2,beauty
706ca30847e1476bcf01b17b512b8440,beauty
3abb54a3f73736376485fb67265bd574,other
c36a59fecd055fd2dad4e7fe61644619,entertainment
afe1ecbc023eeba877980a3f8dfc4a66,garden
7d3098d957fea3fc09860b89cfe26938,beauty
5f9d24132577a8b8f3e603f40016a000,beauty
1d7d6ec8d7e777c848eb171d6a22c144,house
dce7ab66871e4004be04f056a4f7a489,beauty
214a14d712a1efb1c65a2decb880603d,garden
38d9825d31d0394ed0b9028b58044423,house
46e7a065b80781b7db38730e074fd50e,beauty
ad13c49c84416c6762af5d1453300a17,house
b4e1a098d99f271372efc8580838aab1,beauty
cac0ec2d889fa653464a4f585a56b318,garden
9d0844ea2378d1bd851bb0fc1587d79d,beauty
b8caa9d8aff16fe2b7738ece7bdf4d0b,pet care
3339bccce0c1f45abbcdbd26f0dd66a4,beauty
1635d4927f8a32392b51e7be83de1981,wellness
92a0d1b39482d304608639a1e8494f1a,garden
81ffc6c4381bd2b25536abd69c5e9da3,other
4086b2024760189962460eb2b1aa0c78,entertainment
fd66c297fa92101ccd23c2d8b20abd84,pet care
9f340ffcaa3eb21a84302ff9a202f232,house
a6e81489dcbdb171775756587e197e71,house
dd29a58fc8b34d2645d2a2abc471dbf1,wellness
c4261cb8f30cb06a8a2e2bac685579b9,beauty
68457f614e8e8600e39ddb8211d0fd75,house
7568150878c146eaa4a342de6620381f,other
9cca7a909f6ab45e175950a2a6b8556f,entertainment
ed386fca8920eb2c2db74837353036a1,garden
bd0ef2a6c05036c619a61dbcbbcf31f0,wellness
bc9e9f546cafef2880a8e5ff33084a67,wellness
67bd3c971befff7c4bb4f53320aa88a7,other
1bcb5ecc056b792b2dcaad68557992db,wellness
eca4db2bbf148f431256a46e457ef05e,spirits
375cdf51654b514918a79532ac7f308a,garden
6aa195e4df33c0de237f231e52819f4d,garden
c8d03d6b5c1088bbc06e3e6c6919bb55,wellness
d1b3aa1e44c209f28bec5f91ab49fe60,garden
13743a9b23cf7d2749cc2f4aace3f33d,garden
160ccf6dee4c4ccf634f52c30c5f7f82,entertainment
508b41814c38ce00238255661205f6e4,beauty
be7fd89690e5d5f8df536d953bc980f3,wellness
a2e195b055bbfe32b3e69e8fd8893990,garden
ce419943014237921e7d75c0044f6f3e,other
355ec221bdd4565963057a0fea9038ec,beauty
7e80cf62b0b26c68e87c8955656c01a2,house
591f541c51e625fbbef4513be41fad26,wellness
1b7445450513d668209922f65a5c9ce1,other
d56c709bcfba587817303f0a0e646a0c,house
eb7473bb21c1db0bab78e6af6fb40c9d,pet care
2ac5a03eec1b001ab4e9b8ed444c041d,beauty
ebad0b73e9c24c5284fcf4b5ea858574,garden
76d80d847dd47804bda2b01d59be9848,other
17fc616ae032e531e7953efab839af69,beauty
f5c840a8291dc38aa227bdd40cdb13ed,house
47c6f54b7410c013aea487da52fc951e,house
6bf4ccfb225e767967809715d8afbff4,wellness
b9b068acbcc8486da232717759551900,wellness
32a9c4c03e67de89ad47a64d810aa0f0,beauty
435bcd4caf9e604d23d31ad6a6cf5fbb,pet care
9093f19b0e74df41097e5a5d3d071680,entertainment
35dad09f39c4b9a523b35195c34df17a,pet care
a9194b821fa0f997598bf46ab2f9be6a,wellness
c6d698a6a1e3c2c228aa8f3f0c25d4a7,house
4cbd496155d71094e0df77d5b0535ae9,wellness
e2a7e4300232a2305d4c49bd42c69445,pet care
174dd0c7fd54402bd4b9d500fc61c4b8,beauty
d3d997971f5a28f646c4fe064916a06e,beauty
7d6d68012b52ceeea8908b50c2780e52,beauty
9bc45e0037571357bc9f3fcb098e8eeb,other
0865425c92b453b68c2852a24364dcc0,wellness
2c8806421618d2346fa94dfdf081a6b4,wellness
aea57ddd99065e09f7a3cda8ce102dbb,house
61d57f90784adbf83d7bc0efed53cdfe,entertainment
5381511456982fa84f822a294167ec7e,pet care
9984d98f1771a67d0a75f074b042f8e3,wellness
0063d8d5ed3c6e718687c45cc3ca9559,other
04c34d29a9b291532f6549c46239bab0,beauty
12f056b3b69e59c26ba07104b8f29f17,other
e6b8f4a2fc05e7e58461e8e5925f6501,entertainment
87d5e4d41685b346856c9bee47e4d777,garden
f80f901cf38b65f02ee75baead46a91a,pet care
a964474fcfd507a89038e941cd4b71c3,wellness
b2a8e92397cd8ce192aa2a9c3c58b6b1,beauty
623d0c0f9a1c3323464be414efdb1a1e,garden
7a8a8ba0863e6eee5757796a666d78fd,
be58a49225bd312e42675b9da27d4b52,wellness
349215f6ba7e70f19a2e3fe1d5eda405,beauty
8fa1a7d32bb727094e97473749dbbb96,wellness
ae37dd9e3cfc7bc8bd6df504dcfd7031,pet care
e8105c8d24277b1af7d7c9d6e7233fed,garden
60ef0760847352d9bb2067fc886c9757,wellness
17d064ed102e0e8f58072544165a2d99,spirits
c40a6e82b18d69f9a32bc9382d4bcb16,beauty
60d5556fb771ef3891e0581783f53a22,beauty
d79598e4320d3739c4f303a0d558ff68,garden
6a9befe398cfd4ff8680fe4d06c4bb43,wellness
a215012e8383c3bbf163c1bca5180b29,beauty
a45adb685177b0e0a4a2a73b028b314c,pet care
828a21ca8de83928795136bfaea6efe8,wellness
5d95d046b893c7cbd2450ebf8cff4ec8,beauty
f53b8661e6dfdcf12f4f69754c0af67b,other
40e044d9122616d3f03788c210c26bbb,wellness
d6e7f6017336c91015ece1cbf2702ee3,beauty
39c70fd8e943af5ad0ccf4c27a9a8ea4,pet care
153f9614dd7984599546ea82d1ce8a04,wellness
ece288144fb53840742e5bbac058e337,house
42904dcc15937ea7c15ef5f94143c3dc,entertainment
e1d4d09998f7f1887a62bb303dd6ca25,entertainment
edd2ebaa1ad138ed0c14257e5a6aa220,wellness
a9d860df1488d00f0866eb3af4c40f9b,house
d8dcbdfe0c1dacc66daa746eec73e236,entertainment
3dabc180a1d13de7e9e4f9afb6aad6d5,beauty
47c75c28572388e4ccdd6c97358bcfff,house
ec213cc8c2aa25e842614c0c2313c8d0,beauty
2d2c8e1a84e8a0be7b21f2bc638a81d0,wellness
3e9c0fbf33bbb3a54bb08e0cea0c666b,wellness
5dca9010594d335e0d6dbe2b6b5ad1e7,beauty
7bca63131faedba4330d634e294ff866,beauty
ed7b24bb997ecd96713635e58b5a4baf,garden
b6918019623a040db558cd6ecad7877a,garden
cda09bffa28eba5482fc32a4568ffe81,wellness
7d2eaf7117cf5bd8ffb55405fa28dbb6,wellness
d6914efd7d78b619ea48c291e64f2e4f,other
530fc3ccc0e1576b93046a4d7a9f5bac,garden
7b714ae8ba023bb0a324d4773866f7e5,beauty
6cc3169f6be587701122893ca9e5cab9,wellness
